Date,Close/Last,Volume,Open,High,Low
04/04/2025,$92.79,19028010,$96.75,$97.10,$88.7559
04/03/2025,$102.55,13841800,$111.12,$111.75,$101.84
04/02/2025,$120.90,4058616,$114.97,$121.65,$114.97
04/01/2025,$117.84,4495638,$116.06,$118.20,$114.62
03/31/2025,$115.61,6067939,$113.06,$116.56,$111.33
03/28/2025,$114.86,6223773,$117.06,$118.42,$113.9425
03/27/2025,$117.54,4323617,$118.08,$118.78,$115.48
03/26/2025,$119.44,3166197,$122.21,$123.34,$118.37
03/25/2025,$122.18,3955487,$122.26,$123.48,$120.23
03/24/2025,$121.97,5276495,$119.70,$122.51,$118.93
03/21/2025,$116.50,6084237,$115.00,$117.15,$113.82
03/20/2025,$116.71,3462177,$115.12,$117.88,$115.03
03/19/2025,$116.54,5526204,$114.03,$118.28,$113.37
03/18/2025,$114.02,3305290,$115.42,$116.19,$112.7836
03/17/2025,$115.68,5191812,$111.23,$117.06,$111.23
03/14/2025,$113.31,6824666,$112.17,$113.85,$110.14
03/13/2025,$108.69,7530889,$114.60,$115.07,$107.58
03/12/2025,$114.37,7681909,$115.96,$117.39,$112.79
03/11/2025,$112.11,8743145,$108.28,$113.15,$107.92
03/10/2025,$108.17,11977360,$111.73,$111.78,$105.29
03/07/2025,$115.27,8871011,$116.27,$116.675,$108.9123
03/06/2025,$116.13,9436102,$119.31,$121.595,$115.12
03/05/2025,$123.03,13089330,$120.78,$123.53,$118.12
03/04/2025,$120.78,17007530,$127.55,$127.97,$119.47
03/03/2025,$133.01,5242657,$137.60,$138.87,$131.785
02/28/2025,$135.59,6393504,$132.00,$135.67,$131.35
02/27/2025,$132.20,5070431,$134.27,$135.97,$131.52
02/26/2025,$132.68,5716094,$130.50,$134.66,$130.01
02/25/2025,$129.59,8523082,$131.00,$131.70,$127.1601
02/24/2025,$131.19,6229258,$133.41,$134.16,$128.07
02/21/2025,$132.22,4231783,$135.86,$136.86,$130.85
02/20/2025,$134.55,7028754,$138.08,$138.62,$132.59
02/19/2025,$138.47,3765522,$140.36,$140.60,$137.94
02/18/2025,$140.60,4128511,$141.89,$142.6899,$140.06
02/14/2025,$140.56,2196847,$139.61,$141.79,$138.54
02/13/2025,$139.30,3615200,$140.97,$141.45,$137.84
02/12/2025,$139.54,7075460,$140.62,$141.02,$138.40
02/11/2025,$142.46,6282588,$146.11,$146.87,$141.88
02/10/2025,$147.93,4151049,$150.10,$151.3975,$146.56
02/07/2025,$148.61,3983272,$152.23,$152.59,$148.39
02/06/2025,$151.59,6030978,$154.33,$155.61,$149.21
02/05/2025,$153.81,6666925,$146.92,$154.40,$146.92
02/04/2025,$149.30,9268586,$161.87,$162.39,$149.00
02/03/2025,$163.22,4527492,$162.01,$164.44,$159.39
01/31/2025,$167.07,3401135,$167.73,$170.40,$166.68
01/30/2025,$166.87,2428476,$167.48,$168.985,$165.407
01/29/2025,$166.30,4096948,$166.94,$170.16,$165.98
01/28/2025,$167.05,3923340,$161.68,$167.50,$160.2101
01/27/2025,$161.20,4431967,$161.14,$161.34,$157.70
01/24/2025,$165.53,2836986,$164.89,$165.83,$164.58
01/23/2025,$165.34,2980717,$161.03,$165.43,$160.85
01/22/2025,$161.51,3794553,$161.56,$162.18,$158.88
01/21/2025,$160.71,4618941,$158.49,$161.10,$157.68
01/17/2025,$157.57,3879126,$155.63,$158.25,$153.88
01/16/2025,$153.24,3446668,$151.56,$154.01,$150.81
01/15/2025,$150.50,5081882,$151.49,$151.65,$148.68
01/14/2025,$143.65,3942682,$143.40,$144.77,$142.0006
01/13/2025,$141.25,3495279,$139.08,$141.83,$138.88
01/10/2025,$140.93,3968658,$145.73,$147.00,$140.225
01/08/2025,$148.24,3820439,$146.39,$148.39,$145.69
01/07/2025,$146.62,3786941,$150.90,$151.60,$143.9101
01/06/2025,$150.74,3392975,$153.81,$154.73,$150.65
01/03/2025,$152.03,1687680,$150.58,$152.19,$149.93
01/02/2025,$149.19,1665828,$149.36,$150.39,$147.04
12/31/2024,$147.91,1714175,$149.31,$150.06,$147.62
12/30/2024,$148.39,1677208,$147.09,$149.73,$146.04
12/27/2024,$149.86,1571924,$150.62,$151.77,$148.81
12/26/2024,$152.52,1301157,$151.80,$152.885,$150.61
12/24/2024,$152.58,1232909,$149.88,$152.58,$148.64
12/23/2024,$148.94,2740581,$147.00,$149.61,$145.40
12/20/2024,$147.58,8311228,$142.01,$149.42,$141.26
12/19/2024,$143.53,5375898,$146.94,$147.71,$143.04
12/18/2024,$142.96,3762660,$151.87,$152.25,$142.83
12/17/2024,$151.23,3666024,$154.82,$154.82,$149.69
12/16/2024,$156.12,2311196,$155.52,$156.55,$154.14
12/13/2024,$154.34,2612607,$157.33,$157.99,$154.26
12/12/2024,$155.75,2434038,$157.39,$157.865,$155.59
12/11/2024,$157.39,4191940,$153.44,$158.10,$153.39
12/10/2024,$151.81,4270150,$151.48,$153.56,$151.06
12/09/2024,$152.35,6143178,$158.37,$159.19,$151.71
12/06/2024,$158.01,4057762,$157.48,$158.90,$156.9063
12/05/2024,$157.04,3681577,$157.39,$159.375,$156.83
12/04/2024,$157.60,3971605,$158.22,$158.85,$155.84
12/03/2024,$157.90,2801103,$160.25,$160.94,$157.20
12/02/2024,$159.65,3866286,$163.08,$163.66,$159.5035
11/29/2024,$162.87,2665416,$161.90,$163.68,$161.66
11/27/2024,$160.03,4273295,$161.56,$162.7297,$159.91
11/26/2024,$161.27,3211491,$159.00,$161.53,$158.28
11/25/2024,$158.94,3856430,$159.50,$161.11,$158.01
11/22/2024,$158.63,3164165,$157.68,$159.58,$157.00
11/21/2024,$157.67,4027547,$153.83,$158.46,$152.34
11/20/2024,$152.18,3723395,$153.21,$154.58,$150.665
11/19/2024,$152.78,2457045,$152.22,$153.05,$150.9494
11/18/2024,$152.45,3196475,$150.58,$152.64,$149.33
11/15/2024,$150.02,2929182,$149.83,$151.47,$148.09
11/14/2024,$150.52,2700612,$152.43,$153.14,$150.11
11/13/2024,$152.13,2142309,$152.65,$153.89,$151.08
11/12/2024,$153.16,2167654,$155.00,$155.79,$152.32
11/11/2024,$155.90,3901090,$154.12,$156.54,$153.80
11/08/2024,$152.20,3253622,$150.21,$152.62,$150.21
11/07/2024,$150.71,3261213,$151.56,$152.25,$149.02
11/06/2024,$152.27,7213843,$147.475,$153.51,$147.06
11/05/2024,$138.99,3421883,$137.17,$139.66,$137.07
11/04/2024,$136.81,2013037,$137.52,$138.47,$135.83
11/01/2024,$137.58,2672861,$138.50,$140.86,$137.38
